Video ID,Song Title,Album Title,Artist Name 1,Artist Name 2,Artist Name 3,Artist Name 4,Artist Name 5
l0txe6yk8Kc,drivers license,SOUR,Olivia Rodrigo,,,,
rKULHotQzZw,drunk,drunk,keshi,,,,
TiebZllW8As,DtMF,DeBÍ TiRAR MáS FOToS,Bad Bunny,,,,
CHIWNDAwTqQ,Enter Sandman,Metallica,Metallica,,,,
 -SaUrDhp034,Every Breath You Take,Synchronicity (Remastered 2003),The Police,,,,
s_2ai8Tfh18,Everybody Loves Somebody,The Best Movie Songs,Casablanca Pops Orchestra,,,,
ftQpim6Q6O8,Everybody's Different,Garden State Vampire,Joe P,,,,
gpVBMot0AHc,everyday,everyday,Ryce,Chevy,,,
HXV5aZaBLDo,EVERYTHING,TEAM BABY,The Black Skirts,,,,
FapBH3j6WoA,Exit Music (For A Film),OK Computer OKNOTOK 1997 2017,Radiohead,,,,
6gDhsUWCHrg,Fake Plastic Trees,The Bends,Radiohead,,,,
SPIFZx8z5ow,Falling Down,A Message from the Moon,Tsumyoki,,,,
3hgabcFcp4A,Feel It (From “Invincible”),Feel It (From “Invincible”),d4vd,,,,
fnNjPUKmUH4,Fifteen Minutes,I Hate Jazz,Mike Krol,,,,
WCphVz0ZGns,First Love/Late Spring,Bury Me At Makeout Creek,Mitski,,,,
Oncu0bgdcXU,Fix You,X&Y,Coldplay,,,,
QkBLdUq4TZ8,Florence,Malcolm Todd,Malcolm Todd,,,,
KIXkpSQlFF4,forwards beckon rebound,songs,Adrianne Lenker,,,,
h8DeZSB2o-c,From The Start,Bewitched,Laufey,,,,
lH_-Vzg-Ph8,Fuzzy Feeling,Backflips in a Restaurant,grentperez,Benny Sings,,,
CM4DiAPbXXI,GESHUOU,GESHUOU,INOHA,,,,
qAsHVwl-MU4,Ghost Town,ye,Kanye West,PARTYNEXTDOOR,,,
Y_gwjtaLsOM,Gimme Love,Nectar,Joji,,,,
20zVdUxZdwg,Glimpse of Us,SMITHEREENS,Joji,,,,
Z9GSIzDqWnE,"Gone, Gone, Gone (Phillip's Version)","Gone, Gone, Gone (Phillip's Version)",Phillip Phillips,,,,
jt_Jp80RxqA,graze,graze,she's green,,,,
CGfhUD_lTiw,Halo (Blue Letter),In Breech,M. Byrd,,,,
R5HO5PwmH4Y,Happiness,Apricot Princess,Rex Orange County,,,,
10z6-vQm23w,Heaven Knows I'm Miserable Now,Hatful of Hollow,The Smiths,,,,
xUNqsfFUwhY,Here Comes The Sun (Remastered 2009),Abbey Road,The Beatles,,,,
BstMM-xrk8E,Hey Daddy (Daddy's Home),Raymond v Raymond (Expanded Edition),Usher,,,,
oEeet9t--tI,Hey There Delilah,All That We Needed,Plain White T's,,,,
ikFFVfObwss,Highway to Hell,Highway to Hell,AC/DC,,,,
hEk-8U7s6zQ,Hold Back The River,Chaos And The Calm,James Bay,,,,
A5rohNXvVSc,Home,Up From Below - 10th Anniversary Edition,Edward Sharpe & The Magnetic Zeros,,,,
7Z3uhIRkBNw,Hooked On A Feeling,Pinewood Rally,Blue Swede,Björn Skifs,,,
H3Kzh6RrnMc,Hymn for the Weekend,A Head Full of Dreams,Coldplay,,,,
MsSIVZlqC9w,I Like Me Better,I Like Me Better,Lauv,,,,
WiinVuzh4DA,i love you,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,,,,
